student_id,student_name,email,interests
96,Cassandra Mcgee,cmcgee@caltech.edu,
97,Chelsea Garner,cgarner@caltech.edu,
98,Matthew Johnson,mjohnson@caltech.edu,
99,Kyle Davenport,kdavenport@caltech.edu,
100,Rhonda Smith,rsmith@caltech.edu,
101,Derek Jackson,djackson@caltech.edu,
102,Jacqueline Trevino,jtrevino@caltech.edu,
103,Lori Jackson,ljackson@caltech.edu,
104,Gregory Jackson,gjackson@caltech.edu,
105,Ashley Scott,ascott@caltech.edu,
106,William Le,wle@caltech.edu,
107,Catherine Caldwell,ccaldwell@caltech.edu,
108,Emily Peterson,epeterson@caltech.edu,
109,Barry Kelly,bkelly@caltech.edu,
110,Mr. Brent Castillo DDS,mbrent@caltech.edu,
111,Ryan Ewing,rewing@caltech.edu,
112,Mary Coleman,mcoleman@caltech.edu,
113,Jimmy Aguilar,jaguilar@caltech.edu,
114,Kaitlyn Sims,ksims@caltech.edu,
115,Adrian Lucas,alucas@caltech.edu,
116,Christopher Lester,clester@caltech.edu,
117,Alexander Noble,anoble@caltech.edu,
118,Lisa Oliver,loliver@caltech.edu,
119,Luis Watson,lwatson@caltech.edu,
120,Rachel Chavez,rchavez@caltech.edu,
121,Elijah Scott,escott@caltech.edu,
122,Carl Harris,charris@caltech.edu,
123,Luis Robinson,lrobinson@caltech.edu,
124,Alexis Mcclure,amcclure@caltech.edu,
125,Wendy Allen,wallen@caltech.edu,
126,James Allison,jallison@caltech.edu,
127,Robert Jackson,rjackson@caltech.edu,
128,Judy Allison,jallison@caltech.edu,
129,Allison Campbell,acampbell@caltech.edu,
130,Sophia Berry,sberry@caltech.edu,
131,Justin Walker,jwalker@caltech.edu,
132,Melanie Nelson,mnelson@caltech.edu,
133,Jessica Meyer,jmeyer@caltech.edu,
134,Jeanette Ramos,jramos@caltech.edu,
135,Robert Anderson,randerson@caltech.edu,
136,Scott Parker,sparker@caltech.edu,
137,Karen Thomas,kthomas@caltech.edu,
138,Robert Guerrero,rguerrero@caltech.edu,
139,Taylor Dawson,tdawson@caltech.edu,
140,Patricia Cox,pcox@caltech.edu,
141,Nancy Dixon,ndixon@caltech.edu,
142,Tyrone Orr,torr@caltech.edu,
143,Chad Hall,chall@caltech.edu,
144,Linda Powell,lpowell@caltech.edu,
145,Robert Stokes,rstokes@caltech.edu,
146,Mrs. Angela Adams,mangela@caltech.edu,
147,Joan Martinez,jmartinez@caltech.edu,
148,Sarah Gray,sgray@caltech.edu,
149,Dakota Villarreal,dvillarreal@caltech.edu,
150,Cassandra Hall,chall@caltech.edu,
151,Tamara Johnson,tjohnson@caltech.edu,
152,Jordan Williams,jwilliams@caltech.edu,
153,Linda Mcclure,lmcclure@caltech.edu,
154,Sandy Mueller,smueller@caltech.edu,
155,Michael Larson,mlarson@caltech.edu,
156,Stephanie Dodson,sdodson@caltech.edu,
157,Christopher Rogers,crogers@caltech.edu,
158,Katelyn Wilson MD,kwilson@caltech.edu,
159,Amber Morales,amorales@caltech.edu,
160,Taylor Wilson,twilson@caltech.edu,
161,April Palmer,apalmer@caltech.edu,
162,Nancy Fitzgerald,nfitzgerald@caltech.edu,
163,Brian Walker,bwalker@caltech.edu,
164,Gabrielle Humphrey,ghumphrey@caltech.edu,
165,Joanna Johns,jjohns@caltech.edu,
166,Brenda Miller,bmiller@caltech.edu,
167,John Clark,jclark@caltech.edu,
168,Jessica Horton,jhorton@caltech.edu,
169,Ashley Wilson,awilson@caltech.edu,
170,Joseph Allen,jallen@caltech.edu,
171,Melissa Gonzalez,mgonzalez@caltech.edu,
172,Mr. James Young,mjames@caltech.edu,
173,Jose Peterson,jpeterson@caltech.edu,
174,Jared Norman,jnorman@caltech.edu,
175,Justin Scott,jscott@caltech.edu,
176,Tyler Hansen,thansen@caltech.edu,
177,Chris Garcia,cgarcia@caltech.edu,
178,Joyce Sanchez,jsanchez@caltech.edu,
179,Jennifer Evans,jevans@caltech.edu,
180,Edward Clark,eclark@caltech.edu,
181,Amy Conley,aconley@caltech.edu,
182,Jenna Smith,jsmith@caltech.edu,
183,Amy Rogers,arogers@caltech.edu,
184,Jared Becker,jbecker@caltech.edu,
185,Austin Hernandez,ahernandez@caltech.edu,
186,Maria Thornton,mthornton@caltech.edu,
187,Anna Jones,ajones@caltech.edu,
188,David Perkins,dperkins@caltech.edu,
189,John Martinez,jmartinez@caltech.edu,
190,Anthony Rogers Jr.,arogers@caltech.edu,
191,Walter Marshall,wmarshall@caltech.edu,
192,Tyler Baker,tbaker@caltech.edu,
193,Pamela Turner,pturner@caltech.edu,
194,Katherine Shields,kshields@caltech.edu,
195,William Patterson,wpatterson@caltech.edu,
196,Hunter Cline,hcline@caltech.edu,
197,Christopher Harrison,charrison@caltech.edu,
198,Andrea Marshall,amarshall@caltech.edu,
199,Michelle Madden,mmadden@caltech.edu,
200,Isaac Powell,ipowell@caltech.edu,
201,Laura Allen,lallen@caltech.edu,
202,Daniel Brown,dbrown@caltech.edu,
203,Brian Johnson,bjohnson@caltech.edu,
204,Cynthia Rodriguez,crodriguez@caltech.edu,
205,Justin Graham,jgraham@caltech.edu,
206,Stephanie Carney,scarney@caltech.edu,
207,Jacob Smith,jsmith@caltech.edu,
208,Linda Martin,lmartin@caltech.edu,
209,Scott Griffin,sgriffin@caltech.edu,
210,Cheryl Alvarez,calvarez@caltech.edu,
211,Shane Roth,sroth@caltech.edu,
212,Melissa Davis MD,mdavis@caltech.edu,
213,Timothy Soto,tsoto@caltech.edu,
214,Susan Miller,smiller@caltech.edu,
215,Teresa Solomon,tsolomon@caltech.edu,
216,Katherine Hahn,khahn@caltech.edu,
217,Jade Mason,jmason@caltech.edu,
218,Heather Kim,hkim@caltech.edu,
219,Timothy Robinson,trobinson@caltech.edu,
220,Jason Saunders,jsaunders@caltech.edu,
221,Randy Anderson,randerson@caltech.edu,
222,Rose Lawson,rlawson@caltech.edu,
223,Dr. Brandy Nelson,dbrandy@caltech.edu,
224,Marc Jacobs,mjacobs@caltech.edu,
225,Pamela Flores,pflores@caltech.edu,
226,Casey Rollins,crollins@caltech.edu,
227,Justin Smith,jsmith@caltech.edu,
228,Laura May,lmay@caltech.edu,
229,Katelyn Gilmore,kgilmore@caltech.edu,
230,Victoria Smith,vsmith@caltech.edu,
231,Christopher Chavez,cchavez@caltech.edu,
232,Brent Tate,btate@caltech.edu,
233,Danielle Wells,dwells@caltech.edu,
234,Colleen Gilbert,cgilbert@caltech.edu,
235,Bruce Daniel,bdaniel@caltech.edu,
236,Philip Kerr,pkerr@caltech.edu,
237,Christopher Lopez,clopez@caltech.edu,
238,Joe Fuller,jfuller@caltech.edu,
239,Renee Sullivan,rsullivan@caltech.edu,
240,Christopher Ruiz,cruiz@caltech.edu,
241,Dalton Brown,dbrown@caltech.edu,
242,Scott Hernandez,shernandez@caltech.edu,
243,Danielle Keith MD,dkeith@caltech.edu,
244,Devin Robinson,drobinson@caltech.edu,
245,David Tyler,dtyler@caltech.edu,
246,Christopher Garcia,cgarcia@caltech.edu,
247,Kelly Johnson Jr.,kjohnson@caltech.edu,
248,Thomas Parks,tparks@caltech.edu,
249,Dr. Andrew Richardson,dandrew@caltech.edu,
250,Amber Thompson,athompson@caltech.edu,
251,Michael Pratt,mpratt@caltech.edu,
252,Michael Espinoza,mespinoza@caltech.edu,
253,David Schneider,dschneider@caltech.edu,
254,Danielle White,dwhite@caltech.edu,
255,Jennifer Lin,jlin@caltech.edu,
256,Patrick Johnston,pjohnston@caltech.edu,
257,Amy Jackson,ajackson@caltech.edu,
258,Mrs. Kimberly Williams,mkimberly@caltech.edu,
259,Jill Lopez,jlopez@caltech.edu,
260,Richard Perez,rperez@caltech.edu,
261,Mario Potter,mpotter@caltech.edu,
262,Dr. Ronald Hicks,dronald@caltech.edu,
263,Timothy Robles,trobles@caltech.edu,
264,Charles Livingston,clivingston@caltech.edu,
265,Christopher Stephens,cstephens@caltech.edu,
266,Curtis Mcknight,cmcknight@caltech.edu,
267,Stephen Chavez,schavez@caltech.edu,
268,Diana Frey,dfrey@caltech.edu,
269,Mark Taylor,mtaylor@caltech.edu,
270,Michael Walker,mwalker@caltech.edu,
271,Christopher Powell,cpowell@caltech.edu,
272,Tara Harrison,tharrison@caltech.edu,
273,Justin Rodriguez,jrodriguez@caltech.edu,
274,Mark Beasley,mbeasley@caltech.edu,
275,Christine Ferguson,cferguson@caltech.edu,
276,Jerry Wilson,jwilson@caltech.edu,
277,Bethany Kelly,bkelly@caltech.edu,
278,Julie Nelson,jnelson@caltech.edu,
279,Thomas Wells,twells@caltech.edu,
280,Joshua Clark MD,jclark@caltech.edu,
281,Alexa Russell,arussell@caltech.edu,
282,Diane Choi,dchoi@caltech.edu,
283,James Oconnor,joconnor@caltech.edu,
284,Timothy Cooper,tcooper@caltech.edu,
285,Anna Lindsey,alindsey@caltech.edu,
286,Vincent Jackson,vjackson@caltech.edu,
287,Andrew Roberts,aroberts@caltech.edu,
288,Steven Moore,smoore@caltech.edu,
289,Jason Newman,jnewman@caltech.edu,
290,Rachel Henderson,rhenderson@caltech.edu,
291,Tina Prince MD,tprince@caltech.edu,
292,Brandi Bailey,bbailey@caltech.edu,
293,Patrick Dixon,pdixon@caltech.edu,
294,Traci Grant,tgrant@caltech.edu,
295,Justin Dyer,jdyer@caltech.edu,
296,Laura Morrison,lmorrison@caltech.edu,
297,Brandi Norton,bnorton@caltech.edu,
298,Katherine Garza,kgarza@caltech.edu,
299,William Graves,wgraves@caltech.edu,
300,Hannah Bauer,hbauer@caltech.edu,
301,Latoya Garcia,lgarcia@caltech.edu,
302,Tommy Shelton,tshelton@caltech.edu,
303,Erin Wilson,ewilson@caltech.edu,
304,Betty Lloyd,blloyd@caltech.edu,
305,Sarah Roberts,sroberts@caltech.edu,
306,Lee Meza,lmeza@caltech.edu,
307,Cynthia Herrera,cherrera@caltech.edu,
308,Kimberly Norris,knorris@caltech.edu,
309,Susan Johnson,sjohnson@caltech.edu,
310,Caitlyn Koch,ckoch@caltech.edu,
311,Teresa Caldwell,tcaldwell@caltech.edu,
312,Nancy Watson,nwatson@caltech.edu,
313,Andrea Chapman,achapman@caltech.edu,
314,Michael Francis,mfrancis@caltech.edu,
315,Lisa Hunter,lhunter@caltech.edu,
316,Robert Ward,rward@caltech.edu,
317,Robin George,rgeorge@caltech.edu,
318,Antonio Boyd,aboyd@caltech.edu,
319,Christopher Rice,crice@caltech.edu,
320,Rachel Garrett PhD,rgarrett@caltech.edu,
321,John Stark,jstark@caltech.edu,
322,James Perez,jperez@caltech.edu,
323,Adam Bradford,abradford@caltech.edu,
324,Julia Vazquez,jvazquez@caltech.edu,
325,David Skinner,dskinner@caltech.edu,
326,Aaron Ellis,aellis@caltech.edu,
327,Thomas Jacobson,tjacobson@caltech.edu,
328,Christopher Boyd,cboyd@caltech.edu,
329,Yvette Ferguson,yferguson@caltech.edu,
330,Jeanette Walker,jwalker@caltech.edu,
331,Benjamin Frank,bfrank@caltech.edu,
332,Gregory Williams,gwilliams@caltech.edu,
333,Robin Jackson,rjackson@caltech.edu,
334,Donna Owens MD,dowens@caltech.edu,
335,Tanya Mcbride,tmcbride@caltech.edu,
336,Brian Guzman,bguzman@caltech.edu,
337,Anne Howell,ahowell@caltech.edu,
338,Joseph Davis,jdavis@caltech.edu,
339,Kristi Finley,kfinley@caltech.edu,
340,Susan Mays,smays@caltech.edu,
341,Yvonne Reynolds,yreynolds@caltech.edu,
342,Diane Green,dgreen@caltech.edu,
343,Joshua Long,jlong@caltech.edu,
344,Rebecca Duffy,rduffy@caltech.edu,
345,Dr. Brianna Mitchell,dbrianna@caltech.edu,
346,Eric Brown,ebrown@caltech.edu,
347,Roberta Bentley,rbentley@caltech.edu,
348,Kristen Cobb,kcobb@caltech.edu,
349,Anthony Savage,asavage@caltech.edu,
350,Amber Bell,abell@caltech.edu,
351,William Clark,wclark@caltech.edu,
352,Sharon Shaw,sshaw@caltech.edu,
353,Corey Graham,cgraham@caltech.edu,
354,Derek Ryan,dryan@caltech.edu,
355,Cathy Crawford,ccrawford@caltech.edu,
356,Jim Freeman,jfreeman@caltech.edu,
357,Michael Meyer,mmeyer@caltech.edu,
358,Yvonne Ochoa,yochoa@caltech.edu,
359,Rachel Perry,rperry@caltech.edu,
360,Keith Howard,khoward@caltech.edu,
361,Jennifer Bullock,jbullock@caltech.edu,
362,Monica Smith,msmith@caltech.edu,
363,Virginia Stevens,vstevens@caltech.edu,
364,Daniel Moore,dmoore@caltech.edu,
365,Amber Jimenez,ajimenez@caltech.edu,
366,Christine Brooks,cbrooks@caltech.edu,
367,Deanna Bentley,dbentley@caltech.edu,
368,Anita Allen,aallen@caltech.edu,
369,Frank Stewart,fstewart@caltech.edu,
370,Joseph Jarvis,jjarvis@caltech.edu,
371,Carlos Johnson,cjohnson@caltech.edu,
372,Meghan Lopez,mlopez@caltech.edu,
373,Heather Mccarthy,hmccarthy@caltech.edu,
374,Sabrina Stanley,sstanley@caltech.edu,
375,Kelly Smith,ksmith@caltech.edu,
376,Nicole Price,nprice@caltech.edu,
377,Brian Phillips,bphillips@caltech.edu,
378,Darren Cook,dcook@caltech.edu,
379,Jessica Kelly,jkelly@caltech.edu,
380,Angel Hall,ahall@caltech.edu,
381,Shane Taylor,staylor@caltech.edu,
382,James Carter,jcarter@caltech.edu,
383,Mary Johnson,mjohnson@caltech.edu,
384,Steven Norris,snorris@caltech.edu,
385,Mr. Cameron Smith Jr.,mcameron@caltech.edu,
386,Douglas Wang,dwang@caltech.edu,
387,Ernest Perez,eperez@caltech.edu,
388,Gregory Mendez,gmendez@caltech.edu,
389,Christian Evans,cevans@caltech.edu,
390,Joseph Elliott Jr.,jelliott@caltech.edu,
391,James Berry,jberry@caltech.edu,
392,Richard Goodwin,rgoodwin@caltech.edu,
393,Courtney Decker,cdecker@caltech.edu,
394,Andrew Jackson,ajackson@caltech.edu,
395,Cassandra Preston,cpreston@caltech.edu,
396,Jeremy Jimenez,jjimenez@caltech.edu,
397,Micheal Baldwin,mbaldwin@caltech.edu,
398,Nicole Wilson,nwilson@caltech.edu,
399,Julie Phillips,jphillips@caltech.edu,
400,David Aguilar,daguilar@caltech.edu,
401,Paul Gray,pgray@caltech.edu,
402,Brandi Thomas,bthomas@caltech.edu,
403,Pamela Hall,phall@caltech.edu,
404,David Garcia,dgarcia@caltech.edu,
405,Matthew Hughes,mhughes@caltech.edu,
406,Hannah Stewart,hstewart@caltech.edu,
407,Christopher Bradley,cbradley@caltech.edu,
408,John Parrish,jparrish@caltech.edu,
409,Luke Goodwin,lgoodwin@caltech.edu,
410,Erin Becker,ebecker@caltech.edu,
411,Ivan Sharp,isharp@caltech.edu,
412,Gregory Ramirez,gramirez@caltech.edu,
413,Maria Paul,mpaul@caltech.edu,
414,Brian Brady,bbrady@caltech.edu,
415,Michael Rivera,mrivera@caltech.edu,
416,Kevin Gonzales,kgonzales@caltech.edu,
417,Travis Rodriguez,trodriguez@caltech.edu,
418,Austin Martinez,amartinez@caltech.edu,
419,Aaron Nelson,anelson@caltech.edu,
420,Mark Pollard,mpollard@caltech.edu,
421,Paul Martinez,pmartinez@caltech.edu,
422,Ann Cruz,acruz@caltech.edu,
423,Jay Rios,jrios@caltech.edu,
424,Mia Johnson,mjohnson@caltech.edu,
425,James Ferrell,jferrell@caltech.edu,
426,Mitchell Murray,mmurray@caltech.edu,
427,Courtney Hale,chale@caltech.edu,
428,Christina Rogers,crogers@caltech.edu,
429,Luis Walters,lwalters@caltech.edu,
430,Nicholas Jones,njones@caltech.edu,
431,Jennifer Spence,jspence@caltech.edu,
432,Michelle Hale,mhale@caltech.edu,
433,Kevin Hernandez,khernandez@caltech.edu,
434,Adrian Wilson,awilson@caltech.edu,
435,Christopher Powers,cpowers@caltech.edu,
436,Victoria Gonzalez,vgonzalez@caltech.edu,
437,Mark Jensen,mjensen@caltech.edu,
438,Mary Hayden,mhayden@caltech.edu,
439,Scott Evans DVM,sevans@caltech.edu,
440,David Butler,dbutler@caltech.edu,
441,Eric Clark,eclark@caltech.edu,
442,Laura Olsen,lolsen@caltech.edu,
443,Derek Richardson,drichardson@caltech.edu,
444,Vanessa Guzman,vguzman@caltech.edu,
445,Beverly Martinez,bmartinez@caltech.edu,
446,Sandra Palmer,spalmer@caltech.edu,
447,Andrew Johnson,ajohnson@caltech.edu,
448,April Johnson,ajohnson@caltech.edu,
449,David Hughes,dhughes@caltech.edu,
450,Brett Cooper,bcooper@caltech.edu,
451,Joshua Adams,jadams@caltech.edu,
452,Stephen Ware,sware@caltech.edu,
453,Tiffany Valdez,tvaldez@caltech.edu,
454,Matthew Browning,mbrowning@caltech.edu,
455,Stephanie May,smay@caltech.edu,
456,Donna Walker,dwalker@caltech.edu,
457,Daniel Thompson,dthompson@caltech.edu,
458,Christina Allen,callen@caltech.edu,
459,Devin Franklin,dfranklin@caltech.edu,
460,Lori Pena,lpena@caltech.edu,
461,Brad Beck,bbeck@caltech.edu,
462,Dr. Jeffrey Hill,djeffrey@caltech.edu,
463,Shelia Maxwell,smaxwell@caltech.edu,
464,John Mckinney,jmckinney@caltech.edu,
465,Thomas Edwards,tedwards@caltech.edu,
466,Sara Joseph,sjoseph@caltech.edu,
467,Jason Parker,jparker@caltech.edu,
468,Nancy Brown,nbrown@caltech.edu,
469,Carolyn Carrillo,ccarrillo@caltech.edu,
470,William Williamson,wwilliamson@caltech.edu,
471,Amanda Garcia,agarcia@caltech.edu,
472,Tanya Hart,thart@caltech.edu,
473,Hunter Garcia,hgarcia@caltech.edu,
474,Angelica Guzman,aguzman@caltech.edu,
475,Kimberly Noble,knoble@caltech.edu,
476,Cory Koch,ckoch@caltech.edu,
477,Crystal Weaver,cweaver@caltech.edu,
478,Susan Peterson,speterson@caltech.edu,
479,Jessica Morales,jmorales@caltech.edu,
480,Brandon Lara,blara@caltech.edu,
481,Lori Andrews,landrews@caltech.edu,
482,Michelle Mcdonald,mmcdonald@caltech.edu,
483,Thomas Garcia,tgarcia@caltech.edu,
484,Susan Hall,shall@caltech.edu,
485,Brian Friedman,bfriedman@caltech.edu,
486,Claire Jennings,cjennings@caltech.edu,
487,Stephanie Wilson,swilson@caltech.edu,
488,Samantha Chung,schung@caltech.edu,
489,Christine Shaw,cshaw@caltech.edu,
490,Susan Tyler,styler@caltech.edu,
491,Michael Turner,mturner@caltech.edu,
492,Tina Torres,ttorres@caltech.edu,
493,Robin White,rwhite@caltech.edu,
494,Adrian Jackson,ajackson@caltech.edu,
495,Kimberly Harrington,kharrington@caltech.edu,
496,Carolyn Smith,csmith@caltech.edu,
497,Jesse Graham,jgraham@caltech.edu,
498,Christina Brock,cbrock@caltech.edu,
499,Patricia Hernandez,phernandez@caltech.edu,
500,Christopher Sullivan,csullivan@caltech.edu,
